Baseline-ID,Release date,CoreAssetName
Baseline-v2.0,Wed Aug 16 10:55:40 CEST 2017,/Users/onekin/Documents/workspace/WeatherStationSPL/input/images/n_2.png,4
Baseline-v2.0,Wed Aug 16 10:55:40 CEST 2017,/Users/onekin/Documents/workspace/WeatherStationSPL/input/images/n_3.png,6
Baseline-v2.0,Wed Aug 16 10:55:40 CEST 2017,/Users/onekin/Documents/workspace/WeatherStationSPL/input/images/n_4.png,6
Baseline-v2.0,Wed Aug 16 10:55:40 CEST 2017,/Users/onekin/Documents/workspace/WeatherStationSPL/input/images/n_5.png,9
Baseline-v2.0,Wed Aug 16 10:55:40 CEST 2017,/Users/onekin/Documents/workspace/WeatherStationSPL/input/images/n_6.png,10
Baseline-v2.0,Wed Aug 16 10:55:40 CEST 2017,/Users/onekin/Documents/workspace/WeatherStationSPL/input/images/n_7.png,13
Baseline-v2.0,Wed Aug 16 10:55:40 CEST 2017,/Users/onekin/Documents/workspace/WeatherStationSPL/input/images/n_8.png,3
Baseline-v2.0,Wed Aug 16 10:55:40 CEST 2017,/Users/onekin/Documents/workspace/WeatherStationSPL/input/images/n_9.png,4
Baseline-v2.0,Wed Aug 16 10:55:40 CEST 2017,/Users/onekin/Documents/workspace/WeatherStationSPL/input/images/tacho.png,123
Baseline-v2.0,Wed Aug 16 10:55:40 CEST 2017,/Users/onekin/Documents/workspace/WeatherStationSPL/input/images/thermometer_inner_top.png,3
Baseline-v2.0,Wed Aug 16 10:55:40 CEST 2017,/Users/onekin/Documents/workspace/WeatherStationSPL/input/images/thermometer_lower.png,11
Baseline-v2.0,Wed Aug 16 10:55:40 CEST 2017,/Users/onekin/Documents/workspace/WeatherStationSPL/input/images/thermometer_upper.png,3
Baseline-v2.0,Wed Aug 16 10:55:40 CEST 2017,/Users/onekin/Documents/workspace/WeatherStationSPL/input/index.html,111
Baseline-v2.0,Wed Aug 16 10:55:40 CEST 2017,/Users/onekin/Documents/workspace/WeatherStationSPL/input/js/scale.js,60
Baseline-v2.0,Wed Aug 16 10:55:40 CEST 2017,/Users/onekin/Documents/workspace/WeatherStationSPL/input/js/sensors.js,115
Baseline-v2.0,Wed Aug 16 10:55:40 CEST 2017,/Users/onekin/Documents/workspace/WeatherStationSPL/input/js/settings.js,41
Baseline-v2.0,Wed Aug 16 10:55:40 CEST 2017,/Users/onekin/Documents/workspace/WeatherStationSPL/input/Weather Station User Manual.xml,45
