Product,Feature,File,Churn
[productBerlin],SPLconcepts.VariationPoint@3a67ba81,sensors.js,REMOVED
[productBerlin],SPLconcepts.VariationPoint@3a67ba81,sensors.js,ADDED
[productBerlin],SPLconcepts.VariationPoint@29ac379b,settings.js,REMOVED
[productBerlin],SPLconcepts.VariationPoint@2e98339d,settings.js,REMOVED
[productBerlin],SPLconcepts.VariationPoint@7a616139,settings.js,REMOVED
[productBerlin],SPLconcepts.VariationPoint@29ac379b,settings.js,ADDED
[productBerlin],SPLconcepts.VariationPoint@2e98339d,settings.js,ADDED
[productBerlin],SPLconcepts.VariationPoint@7a616139,settings.js,ADDED
