Portfolio-ID,DerivedFrom-baselineID,ProductName,ReleaseName,ReleaseDate
Series 1.X,aeb6c62a7eacd35303bd9872c692ad135a7d2907,productNewYork,productNewYork-v1.0,Sat Jun 24 20:38:29 CEST 2017
Series 1.X,aeb6c62a7eacd35303bd9872c692ad135a7d2907,productBerlin,productBerlin-v2.0,Mon Aug 21 15:42:25 CEST 2017
Series 1.X,aeb6c62a7eacd35303bd9872c692ad135a7d2907,productBerlin,productBerline-v1.0,Sat Jun 24 20:28:07 CEST 2017
Series 1.X,aeb6c62a7eacd35303bd9872c692ad135a7d2907,productDonosti,productDonosti-v1.0,Sat Jun 24 20:35:47 CEST 2017
Series 2.X,ac7e948232d3317ae340b1612c5396ee702872db,productBilbao,productBilbao-v1.0,Mon Aug 21 12:09:25 CEST 2017
